iteration,"50,10,10","50,10,20","50,20,10","50,20,20"
0,0.342831298,0.522840344,0.52917232,0.422433288
10,0.5269109,0.649932157,0.642695613,0.540479421
20,0.578923564,0.662143826,0.720488467,0.480325645
30,0.704206242,0.575305292,0.749434645,0.629579376
40,0.710538218,0.605608322,0.696517413,0.632745364
50,0.68611488,0.663048394,0.697874265,0.757123474
60,0.760741746,0.725915875,0.603346902,0.710990502
70,0.722749887,0.600180914,0.704658526,0.756218905
80,0.738127544,0.623699683,0.665309815,0.780189959
90,0.691542289,0.58299412,0.725011307,0.7421981
100,0.754862053,0.710538218,0.780189959,0.794663048
110,0.800995025,0.654907282,0.768882858,0.805065581
120,0.786521936,0.722297603,0.796924469,0.793306196
130,0.786069652,0.773857983,0.749434645,0.795115332
140,0.804161013,0.791044776,0.757575758,0.797829037
150,0.777928539,0.767526006,0.797829037,0.797376753
160,0.829941203,0.771596563,0.768430574,0.762550882
170,0.834464043,0.799185889,0.767073722,0.783808232
180,0.81275441,0.800995025,0.776571687,0.795567616
190,0.820895522,0.801447309,0.7847128,0.778833107
200,0.801899593,0.7960199,0.786069652,0.787878788
210,0.807327001,0.810040706,0.790140208,0.766621438
220,0.816824966,0.829941203,0.777928539,0.792401628
230,0.81727725,0.824966079,0.791044776,0.809136137
240,0.810945274,0.81275441,0.763003166,0.796472185
250,0.829036635,0.81953867,0.779737675,0.81953867
260,0.803708729,0.818181818,0.777928539,0.816824966
270,0.850293985,0.822704659,0.75893261,0.784260516
280,0.851650837,0.824966079,0.759384894,0.818181818
290,0.858435097,0.827679783,0.782451379,0.804613297
300,0.850746269,0.805065581,0.764360018,0.829941203
310,0.841248304,0.820895522,0.753505201,0.807779285
320,0.843962008,0.826322931,0.782451379,0.796924469
330,0.8385346,0.833107191,0.780642243,0.845771144
340,0.847127996,0.841248304,0.79375848,0.805970149
350,0.84305744,0.834464043,0.794210764,0.833107191
360,0.850293985,0.857982813,0.808231569,0.827679783
370,0.841248304,0.84758028,0.79149706,0.856625961
380,0.829941203,0.824966079,0.767526006,0.821347806
390,0.81049299,0.828584351,0.788331072,0.858887381
400,0.844414292,0.833559475,0.806422433,0.836725464
410,0.830393487,0.841700588,0.791949344,0.857530529
420,0.834464043,0.792401628,0.819990954,0.863862506
430,0.838082316,0.847127996,0.815920398,0.86205337
440,0.84758028,0.832654907,0.816824966,0.859791949
450,0.818181818,0.839439168,0.812302126,0.838082316
460,0.832654907,0.852103121,0.819086386,0.847127996
470,0.832202623,0.826775215,0.826322931,0.825870647
480,0.834464043,0.851650837,0.824966079,0.850293985
490,0.847127996,0.810945274,0.829941203,0.846223428
500,0.837177748,0.856173677,0.823156943,0.843962008
510,0.839439168,0.826322931,0.824061511,0.833107191
520,0.820443238,0.842152872,0.825418363,0.848937133
530,0.835368611,0.857982813,0.834464043,0.853912257
540,0.84531886,0.863410222,0.826322931,0.84758028
550,0.854364541,0.856173677,0.823156943,0.851198553
560,0.831750339,0.867480778,0.808231569,0.861148801
570,0.845771144,0.823156943,0.825870647,0.860244233
580,0.837630032,0.860696517,0.79375848,0.853912257
590,0.843962008,0.852103121,0.826775215,0.859791949
600,0.847127996,0.861148801,0.81953867,0.848032564
610,0.831298055,0.86431479,0.824061511,0.843509724
620,0.851198553,0.857078245,0.830393487,0.876526459
630,0.808231569,0.870646766,0.834916327,0.86431479
640,0.850293985,0.882406151,0.814563546,0.875621891
650,0.843509724,0.869289914,0.826322931,0.857078245
660,0.852103121,0.865671642,0.839439168,0.868385346
670,0.860244233,0.872455902,0.825418363,0.869742198
680,0.856625961,0.871551334,0.84531886,0.869289914
690,0.846223428,0.865219358,0.827679783,0.881953867
700,0.858887381,0.866123926,0.834464043,0.876526459
710,0.860244233,0.863410222,0.827227499,0.878335595
720,0.853912257,0.86883763,0.832654907,0.857982813
730,0.858887381,0.865671642,0.826322931,0.861601085
740,0.851198553,0.865219358,0.841700588,0.84758028
750,0.837630032,0.865219358,0.831750339,0.873812754
760,0.860696517,0.877431027,0.838082316,0.883310719
770,0.861148801,0.870646766,0.833559475,0.869289914
780,0.863410222,0.863410222,0.838986884,0.854816825
790,0.867028494,0.865671642,0.844414292,0.850293985
800,0.805517865,0.867480778,0.841700588,0.864767074
810,0.872908186,0.859339665,0.848484848,0.876526459
820,0.871551334,0.87109905,0.86431479,0.876074175
830,0.881953867,0.873812754,0.838986884,0.872908186
840,0.872455902,0.867933062,0.852555405,0.875621891
850,0.86431479,0.86883763,0.860696517,0.887381275
860,0.851198553,0.885119855,0.850293985,0.876526459
870,0.86883763,0.878335595,0.853912257,0.881501583
880,0.87336047,0.882406151,0.844866576,0.875169607
890,0.87336047,0.895070104,0.852555405,0.885119855
900,0.870646766,0.895522388,0.853459973,0.887833559
910,0.874717322,0.892808684,0.846223428,0.885572139
920,0.875621891,0.880597015,0.851198553,0.883763003
930,0.878335595,0.87336047,0.839439168,0.898236092
940,0.879240163,0.895522388,0.858435097,0.883310719
950,0.89009498,0.888285844,0.859339665,0.8923564
960,0.8923564,0.893260968,0.861601085,0.873812754
970,0.881049299,0.894165536,0.865671642,0.89461782
980,0.890547264,0.888285844,0.86883763,0.886928991
990,0.886024423,0.879692447,0.867933062,0.883763003
1000,0.882858435,0.893260968,0.874265038,0.891451832
1010,0.886928991,0.894165536,0.854364541,0.895974672
1020,0.888738128,0.893713252,0.860696517,0.872908186
1030,0.890999548,0.903663501,0.853459973,0.86883763
1040,0.890547264,0.903211217,0.857078245,0.884215287
1050,0.876526459,0.888738128,0.86431479,0.882858435
1060,0.880597015,0.89687924,0.86431479,0.882406151
1070,0.888285844,0.903663501,0.864767074,0.874717322
1080,0.889190412,0.897783808,0.862957938,0.884667571
1090,0.891451832,0.902306649,0.867028494,0.879692447
1100,0.889190412,0.89914066,0.858887381,0.876526459
1110,0.888285844,0.902306649,0.862505654,0.878335595
1120,0.895522388,0.897783808,0.871551334,0.878335595
1130,0.895070104,0.900949796,0.881501583,0.874717322
1140,0.884215287,0.901854365,0.86657621,0.891451832
1150,0.886476707,0.895974672,0.879240163,0.888285844
1160,0.888738128,0.901854365,0.872003618,0.889642696
1170,0.890999548,0.898688376,0.879692447,0.895974672
