iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.239931272,0.234269865,0.241311986,0.426202322,0.437358661,0.426503844,0.019036845
10,0.240535095,0.235117629,0.242338167,0.427709935,0.437810945,0.42605156,0.123565488
20,0.236555182,0.230910848,0.237827102,0.426805367,0.438715513,0.427408412,0.207618391
30,0.228326768,0.222380424,0.229091678,0.419870345,0.430122117,0.422433288,0.285586941
40,0.217267547,0.211273543,0.217580735,0.418061209,0.430122117,0.421981004,0.373842859
50,0.202135039,0.199751568,0.203045069,0.354741444,0.349163275,0.349163275,0.452669431
60,0.19513214,0.193249532,0.195118836,0.357153626,0.348710991,0.359565807,0.533442899
70,0.192456578,0.191063611,0.192369823,0.357002864,0.346901854,0.358661239,0.614817612
80,0.193373336,0.191896303,0.192823313,0.350520127,0.347806422,0.347354138,0.69757666
90,0.181634743,0.180530104,0.181153934,0.360621137,0.362279512,0.367254636,0.778433339
100,0.176744457,0.175705459,0.176510258,0.386401327,0.386702849,0.39122569,0.861600846
110,0.176757111,0.175755016,0.176536241,0.385195236,0.387155133,0.390321122,0.942107723
120,0.165467157,0.165867142,0.165037125,0.424996231,0.425599276,0.425146992,1.025014128
130,0.162742553,0.163580418,0.162424169,0.447459671,0.450927182,0.432835821,1.108397257
140,0.150118464,0.151913252,0.149771717,0.498718529,0.498417006,0.483943917,1.191622048
150,0.149798258,0.151782838,0.149455829,0.499623097,0.49886929,0.483943917,1.276811844
160,0.149338637,0.15114887,0.148830082,0.496457108,0.497512438,0.487109905,1.357717353
170,0.144170483,0.146054227,0.143423995,0.503995176,0.506558118,0.497512438,1.438482555
180,0.138887129,0.140209905,0.139280319,0.527966229,0.523292628,0.512890095,1.520818889
190,0.137407438,0.138903759,0.137543002,0.533996683,0.533242877,0.526006332,1.607242927
200,0.134222613,0.135760249,0.134632978,0.543343887,0.544549977,0.532790592,1.701740127
210,0.130800511,0.133992362,0.131518868,0.567465702,0.555857078,0.55042967,1.784900353
220,0.129832411,0.133055607,0.130532801,0.568068747,0.55721393,0.550881954,2.014022003
230,0.128862347,0.132302,0.129164685,0.571385497,0.562189055,0.563093623,2.106175848
240,0.127075932,0.13045764,0.127658901,0.583597166,0.570782451,0.575305292,2.219047334
250,0.127554156,0.131053997,0.128087906,0.583446404,0.572139303,0.57394844,2.301256396
260,0.10619531,0.109083357,0.107369158,0.646464646,0.638625057,0.640886477,2.395177367
270,0.103527217,0.106002882,0.104727516,0.664857531,0.657620986,0.66033469,2.544785079
280,0.103032313,0.105483316,0.104133111,0.666515905,0.660786974,0.663952962,2.632074525
290,0.102147923,0.104463594,0.103110544,0.668325041,0.66259611,0.665762099,2.724422849
300,0.099496124,0.100764433,0.100401941,0.681290517,0.673903211,0.673903211,2.830306976
310,0.097342501,0.097899375,0.098464287,0.69847731,0.694255993,0.680235188,2.921235074
320,0.095552895,0.096136531,0.096019378,0.703904719,0.705563094,0.696517413,3.007694996
330,0.093422476,0.094232055,0.093930562,0.712799638,0.713704206,0.709181366,3.192536183
340,0.092067914,0.093008772,0.092638548,0.719131615,0.711442786,0.715061058,3.275494434
350,0.092390637,0.091842923,0.092804161,0.727121966,0.730438716,0.722297603,3.427094505
360,0.088888727,0.089758876,0.08918767,0.733755465,0.726368159,0.732700136,3.506659265
370,0.088273288,0.088311546,0.088744012,0.74099201,0.73541384,0.736318408,3.588066403
380,0.085440281,0.0848303,0.085974388,0.752751395,0.750791497,0.749886929,3.739871709
390,0.083708053,0.084200407,0.083430444,0.754862053,0.745816373,0.752600633,3.826748771
400,0.083829576,0.08442643,0.083330772,0.754862053,0.744459521,0.752148349,3.908551174
410,0.079136329,0.079791231,0.079093933,0.771747324,0.768430574,0.768882858,3.998887769
420,0.078294057,0.07851032,0.079103512,0.779586914,0.773857983,0.782451379,4.089372159
430,0.075108186,0.07559683,0.075635021,0.789386401,0.783808232,0.791044776,4.174287909
440,0.074801666,0.076019423,0.075109072,0.78591889,0.781094527,0.787878788,4.254723637
450,0.07289272,0.073889954,0.073054228,0.79481381,0.79149706,0.795567616,4.339521297
460,0.07160191,0.071896891,0.071438592,0.804311774,0.801899593,0.809588422,4.447270105
470,0.068177632,0.068694132,0.068110943,0.814262023,0.811849842,0.82180009,4.539538027
480,0.068645224,0.069065433,0.068474561,0.812452887,0.81275441,0.818181818,4.631686384
490,0.067500049,0.067750724,0.067229845,0.820141716,0.814563546,0.824966079,4.712102467
500,0.066601294,0.067026359,0.065697318,0.818181818,0.818181818,0.828584351,4.79230001
510,0.065882061,0.06637249,0.065267169,0.823156943,0.823609227,0.830393487,4.876988557
520,0.067258749,0.067311586,0.066979493,0.815920398,0.82180009,0.822252374,4.976626744
530,0.065398981,0.065756131,0.064908065,0.825569124,0.824061511,0.830393487,5.069456895
540,0.064666954,0.065186465,0.064157185,0.826925976,0.827679783,0.829941203,5.150094732
550,0.064162577,0.064786105,0.063648037,0.831448817,0.829941203,0.833559475,5.237306275
560,0.063828364,0.064494061,0.063390583,0.832202623,0.830393487,0.834464043,5.338844241
570,0.063635342,0.063720654,0.063735591,0.836122418,0.825870647,0.835820896,5.418845649
580,0.064150241,0.064056219,0.063923829,0.834313282,0.822704659,0.838082316,5.50197873
590,0.06283526,0.06352765,0.062547081,0.835971657,0.836725464,0.841700588,5.5837104
600,0.063263754,0.064104217,0.062936709,0.832353385,0.831298055,0.84305744,5.666014298
610,0.06178234,0.062549168,0.061509645,0.839439168,0.841248304,0.841700588,5.762801933
620,0.061799533,0.062556299,0.061587591,0.839137645,0.840343736,0.841700588,5.846314199
630,0.06017822,0.06105026,0.060379918,0.846524951,0.842152872,0.846223428,5.928293246
640,0.060829899,0.061702448,0.061001446,0.842303633,0.834464043,0.843509724,6.02855252
650,0.058924726,0.059684618,0.058986776,0.850444746,0.843962008,0.848484848,6.109873703
660,0.059287751,0.059973444,0.059467948,0.848484848,0.842152872,0.846675712,6.190218894
670,0.058352638,0.059059018,0.058454339,0.853007689,0.844414292,0.853459973,6.286630633
680,0.058988832,0.060181775,0.059269134,0.848183326,0.842152872,0.849389417,6.375405302
690,0.058370044,0.059488208,0.05848275,0.852404643,0.848032564,0.851650837,6.457590369
700,0.057803233,0.058778187,0.057889464,0.854063018,0.84758028,0.852103121,6.540500785
710,0.057608833,0.058495558,0.057702275,0.853761496,0.84758028,0.853912257,6.619678252
720,0.054215732,0.055140949,0.054096101,0.868536107,0.857982813,0.86657621,6.700295142
730,0.053297724,0.05411487,0.052931738,0.870194482,0.861601085,0.86883763,6.796647524
740,0.053294658,0.054115868,0.052934623,0.870194482,0.861148801,0.86883763,6.879902164
750,0.053180231,0.053912603,0.052777028,0.867631539,0.86205337,0.86883763,6.968403976
760,0.052878776,0.054064751,0.0522605,0.859641188,0.853007689,0.857078245,7.051961373
770,0.052474516,0.053522809,0.052095118,0.862957938,0.859339665,0.863862506,7.13379445
780,0.052035312,0.052818498,0.051663029,0.86883763,0.861148801,0.86883763,7.216452297
790,0.048334063,0.049037458,0.047616901,0.876526459,0.872455902,0.875621891,7.29690936
800,0.047551853,0.047644475,0.046506941,0.878787879,0.874265038,0.879692447,7.402367438
810,0.047159195,0.047263019,0.046112257,0.882104628,0.881049299,0.882858435,7.498615504
820,0.047199642,0.047349832,0.04615332,0.881049299,0.879240163,0.883310719,7.5806309
830,0.047018838,0.047182938,0.045889039,0.881501583,0.880144731,0.882406151,7.659378997
840,0.047045202,0.047105472,0.045870988,0.88120006,0.880597015,0.881953867,7.740180395
850,0.046830127,0.04709547,0.045715768,0.881803106,0.877431027,0.882858435,7.81970303
860,0.047024082,0.047598084,0.045851918,0.879240163,0.879240163,0.886476707,7.899456303
870,0.046609411,0.047181783,0.045484486,0.878486356,0.880597015,0.886024423,7.981370576
880,0.044602469,0.044566475,0.043576566,0.886325946,0.888738128,0.888285844,8.06376734
890,0.044859813,0.045065142,0.043899037,0.884064526,0.886928991,0.889190412,8.143343825
900,0.04447557,0.044627155,0.043427959,0.885119855,0.890999548,0.889642696,8.225326359
910,0.044374547,0.044633311,0.043367905,0.886627469,0.888738128,0.890999548,8.305479903
920,0.044368228,0.04454111,0.043210511,0.885722901,0.887833559,0.889190412,8.383478288
930,0.044216097,0.04451072,0.042970151,0.885421378,0.888738128,0.888738128,8.46416506
940,0.044054736,0.044402804,0.042612825,0.88451681,0.888285844,0.895522388,8.54561045
950,0.043912257,0.044181295,0.042595891,0.888285844,0.888738128,0.895522388,8.626766341
960,0.043478551,0.043903299,0.042221858,0.886325946,0.886476707,0.895522388,8.707660217
970,0.043493526,0.043839076,0.042069171,0.887833559,0.887381275,0.895974672,8.786515195
980,0.04132008,0.041609392,0.039551672,0.8923564,0.893260968,0.900497512,8.866215674
990,0.041222585,0.041473551,0.039414213,0.893562491,0.8923564,0.902758933,8.949852037
1000,0.041375853,0.04180904,0.039621274,0.891753354,0.889642696,0.900949796,9.033747423
1010,0.041209069,0.041548519,0.039373372,0.893713252,0.891451832,0.901854365,9.113818201
1020,0.04097967,0.041282273,0.039219256,0.895070104,0.893260968,0.902306649,9.19497204
1030,0.038824205,0.039054488,0.037514426,0.904266546,0.901402081,0.904568069,9.27656515
1040,0.038734458,0.038849737,0.037420463,0.903512739,0.901854365,0.903211217,9.356029193
1050,0.03857421,0.038750613,0.0372354,0.904115785,0.898688376,0.907734057,9.434463842
1060,0.037514179,0.037486456,0.036286759,0.90577416,0.900497512,0.904115785,9.514853802
1070,0.037384106,0.037337575,0.036202315,0.906377205,0.901402081,0.906829489,9.597250115
1080,0.037281827,0.036969825,0.036439989,0.913010704,0.905472637,0.911352329,9.67742075
1090,0.037136519,0.037108506,0.035976496,0.907281773,0.902306649,0.907734057,9.762811899
1100,0.036371478,0.036378021,0.035015217,0.911050807,0.903211217,0.910447761,9.857795793
1110,0.046373083,0.04483134,0.045027693,0.881953867,0.886024423,0.884215287,9.937158649
1120,0.036167069,0.036164093,0.034899623,0.910297,0.903663501,0.909995477,10.02936736
1130,0.036879771,0.037481414,0.035686293,0.905472637,0.898688376,0.911804613,10.12748254
1140,0.036102846,0.03597064,0.03479012,0.911201568,0.905472637,0.911352329,10.2272115
