iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.184652141,0.177226465,0.17732779,0.374943464,0.390321122,0.393034826,0.020462825
10,0.18183611,0.175006637,0.174777941,0.379617066,0.403889643,0.401175938,0.117711918
20,0.177361487,0.170923427,0.170716855,0.397105382,0.420171868,0.412935323,0.208157381
30,0.172449188,0.16602199,0.165757269,0.416252073,0.438715513,0.425599276,0.288564828
40,0.168571776,0.161795409,0.161706641,0.425448515,0.442333786,0.445499774,0.372174196
50,0.166509337,0.159959766,0.159593394,0.439167797,0.464947987,0.459520579,0.454645975
60,0.164067027,0.157804287,0.157281199,0.447007387,0.467661692,0.468113976,0.539727799
70,0.154031888,0.148319261,0.147507455,0.477762702,0.489371325,0.506105834,0.627993988
80,0.15386555,0.147707344,0.147316307,0.480777929,0.499773858,0.497060154,0.712238938
90,0.152267097,0.145920298,0.145658982,0.489974371,0.508819539,0.507914971,0.799825128
100,0.150864431,0.144485149,0.144445706,0.494497211,0.508367255,0.520578924,0.89858187
110,0.148839279,0.142894087,0.142453453,0.502035278,0.515151515,0.5269109,0.990797271
120,0.148252975,0.142707338,0.141677636,0.505050505,0.519674355,0.525101764,1.074375801
130,0.144634762,0.141030347,0.13857869,0.519372833,0.534147445,0.536861149,1.158584568
140,0.140954614,0.136817313,0.134724213,0.551032715,0.563093623,0.563093623,1.249019097
150,0.135749225,0.131067349,0.129648436,0.559776873,0.573496156,0.577566712,1.331513705
160,0.131495478,0.126746184,0.125375913,0.572139303,0.583446404,0.595658073,1.415316847
170,0.109378376,0.105694129,0.106749744,0.651289009,0.669380371,0.670284939,1.498985914
180,0.111624092,0.107630023,0.109496903,0.647821499,0.654907282,0.659882406,1.584858472
190,0.108048035,0.103873311,0.10585363,0.6524951,0.672546359,0.668023519,1.668488109
200,0.104697398,0.100944168,0.102829197,0.669078848,0.687924016,0.684758028,1.75171628
210,0.100904545,0.09698271,0.099236658,0.688527062,0.70511081,0.699231117,1.835417082
220,0.098058238,0.094487323,0.096548843,0.700286447,0.71641791,0.704658526,1.918579923
230,0.096088339,0.093052756,0.095035221,0.716568672,0.723202171,0.722749887,2.003106244
240,0.095709997,0.092737823,0.094787458,0.721393035,0.729534147,0.723654455,2.087805664
250,0.094330371,0.091344264,0.093719146,0.726368159,0.740388964,0.730438716,2.172511585
260,0.092887936,0.090019114,0.092223035,0.734207749,0.744007237,0.738127544,2.256929965
270,0.091793429,0.089875184,0.090791296,0.72983567,0.739484396,0.723654455,2.341224237
280,0.090733638,0.089038088,0.090189333,0.731041761,0.73993668,0.727725011,2.428315691
290,0.085627085,0.083885953,0.085428267,0.75893261,0.767073722,0.757123474,2.515374748
300,0.083268831,0.081553234,0.082707031,0.770842756,0.777928539,0.768882858,2.597398478
310,0.082999172,0.081087323,0.08231356,0.769485904,0.781094527,0.771596563,2.6788629
320,0.082635392,0.080830943,0.082129531,0.771445801,0.778380823,0.775214835,2.75949659
330,0.082136019,0.080148214,0.081465962,0.775968642,0.780189959,0.774310267,2.840213806
