iterations,fitness,time,fevals
0,25.0,0.000818968000001,682
10,26.0,0.001478937,1253
20,27.0,0.002057487,1824
30,29.0,0.002702478,2412
40,31.0,0.003353049,2982
50,32.0,0.003934495,3558
60,32.0,0.004463423,4138
70,34.0,0.005033644,4724
80,32.0,0.005567159,5292
90,32.0,0.007163407,5873
100,32.0,0.007958558,6448
110,31.0,0.008738756,7022
120,33.0,0.009560835,7588
130,33.0,0.01032031,8164
140,34.0,0.010881936,8742
150,31.0,0.011429118,9313
160,33.0,0.012213196,9884
170,33.0,0.012755216,10478
180,34.0,0.013319187,11031
190,34.0,0.013944416,11602
200,34.0,0.014530408,12177
210,35.0,0.015177453,12761
220,35.0,0.015719079,13333
230,36.0,0.016425246,13903
240,37.0,0.016981172,14471
250,37.0,0.017609578,15046
260,39.0,0.01821833,15642
270,38.0,0.018727743,16215
280,37.0,0.019522258,16795
290,37.0,0.023812109,17384
300,37.0,0.024494133,17963
310,36.0,0.02510046,18541
320,39.0,0.025676747,19110
330,39.0,0.026321152,19683
340,37.0,0.026905077,20253
350,39.0,0.027473505,20825
360,39.0,0.028099994,21404
370,38.0,0.028646497,21973
380,38.0,0.029388209,22539
390,38.0,0.029908966,23108
400,38.0,0.030610255,23697
410,39.0,0.031245823,24262
420,38.0,0.031988387,24835
430,39.0,0.032507831,25415
440,37.0,0.033149183,25992
450,39.0,0.033745493,26562
460,36.0,0.034569251,27144
470,38.0,0.035253675,27720
480,38.0,0.036188132,28296
490,39.0,0.037268042,28868
500,39.0,0.037996462,29444
510,40.0,0.038618562,30019
520,40.0,0.039132989,30596
530,39.0,0.039779968,31189
540,40.0,0.040293617,31766
550,40.0,0.040993313,32338
560,40.0,0.041535325,32916
570,40.0,0.042245875,33489
580,40.0,0.042875931,34067
590,40.0,0.044122853,34642
600,39.0,0.044911453,35197
610,41.0,0.0455791,35772
620,40.0,0.046110951,36355
630,41.0,0.046833946,36930
640,40.0,0.047390838,37516
650,40.0,0.048038858,38082
660,39.0,0.048720898,38640
670,40.0,0.049320533,39202
680,42.0,0.049897101,39774
690,40.0,0.050438969,40348
700,40.0,0.051082515,40915
710,40.0,0.051602382,41502
720,42.0,0.052426796,42077
730,42.0,0.052958674,42640
740,42.0,0.053683532,43223
750,42.0,0.054206836,43809
760,44.0,0.054861567,44389
770,44.0,0.055453052,44973
780,45.0,0.055956885,45555
790,44.0,0.056664179,46153
800,45.0,0.057182033,46742
810,44.0,0.057887506,47311
820,45.0,0.05844167,47909
830,46.0,0.059067392,48479
840,47.0,0.059649763,49060
850,47.0,0.060293472,49638
860,47.0,0.061561967,50203
870,48.0,0.062571677,50783
880,48.0,0.063275868,51372
890,48.0,0.064145277,51952
900,47.0,0.064900867,52524
910,47.0,0.065425966,53105
920,48.0,0.065982661,53672
930,48.0,0.067428314,54264
940,48.0,0.068854363,54836
950,48.0,0.069398045,55424
960,51.0,0.069969691,55995
970,51.0,0.070585305,56565
980,50.0,0.071126242,57138
990,62.0,0.071685006,57728
1000,75.0,0.072238307,58303
1010,75.0,0.072859055,58874
1020,76.0,0.073429355,59459
1030,71.0,0.073949544,60039
1040,78.0,0.074611988,60615
1050,77.0,0.075152807,61188
1060,77.0,0.07577755,61758
1070,78.0,0.076287687,62331
1080,80.0,0.076825883,62914
1090,80.0,0.077366885,63490
1100,77.0,0.077907502,64065
1110,78.0,0.078458677,64656
1120,78.0,0.078974002,65222
1130,77.0,0.079495792,65798
1140,77.0,0.08002361,66392
1150,78.0,0.080548692,66961
1160,78.0,0.081072108,67539
1170,78.0,0.081591564,68118
1180,78.0,0.082172492,68688
1190,78.0,0.082792066,69263
1200,81.0,0.083373829,69839
1210,80.0,0.0839042,70423
1220,81.0,0.084395694,71009
1230,81.0,0.084885263,71581
1240,82.0,0.085455116,72163
1250,82.0,0.085968917,72739
1260,81.0,0.086486962,73306
1270,78.0,0.087120522,73886
1280,79.0,0.087656182,74470
1290,79.0,0.088364869,75030
1300,79.0,0.089109276,75611
1310,78.0,0.089842436,76193
1320,79.0,0.090656486,76765
1330,80.0,0.091630439,77334
1340,80.0,0.092155978,77903
1350,82.0,0.092682985,78487
1360,83.0,0.093243737,79068
1370,82.0,0.093741254,79652
1380,82.0,0.094255461,80216
1390,83.0,0.0947806,80786
1400,81.0,0.095302237,81347
1410,82.0,0.095817227,81939
1420,82.0,0.096340363,82518
1430,81.0,0.096869164,83092
1440,80.0,0.097398385,83683
1450,81.0,0.09792626,84249
1460,83.0,0.098482488,84829
1470,83.0,0.098971625,85401
1480,84.0,0.099539025,85981
1490,83.0,0.101107941,86555
1500,80.0,0.102497602,87142
1510,81.0,0.103092451,87724
1520,79.0,0.10363363,88303
1530,79.0,0.104159721,88877
1540,81.0,0.104750305,89459
1550,81.0,0.105313195,90038
1560,80.0,0.105874491,90625
1570,80.0,0.106394233,91208
1580,80.0,0.106881235,91796
1590,79.0,0.107504762,92380
1600,80.0,0.107976043,92969
1610,80.0,0.108467769,93548
1620,81.0,0.108968848,94132
1630,82.0,0.109570931,94702
1640,82.0,0.110074614,95272
1650,83.0,0.110575444,95863
1660,82.0,0.111116766,96443
1670,82.0,0.111627039,97014
1680,81.0,0.112194117,97591
1690,82.0,0.11268811,98158
1700,81.0,0.113209632,98729
1710,81.0,0.113679593,99307
1720,81.0,0.114296249,99887
1730,80.0,0.114782993,100468
1740,80.0,0.115439131,101049
1750,79.0,0.116125707,101639
1760,78.0,0.116716845,102229
1770,79.0,0.117276686,102806
1780,79.0,0.117996393,103386
1790,79.0,0.118696588,103971
1800,78.0,0.119285187,104547
1810,78.0,0.11975784,105127
1820,77.0,0.12030877,105692
1830,78.0,0.120796101,106276
1840,75.0,0.121559258,106854
1850,75.0,0.122605035,107424
1860,75.0,0.123898075,107996
1870,76.0,0.124509397,108566
1880,78.0,0.125036356,109134
1890,78.0,0.125672556,109695
1900,76.0,0.126155041,110272
1910,76.0,0.126654006,110849
1920,80.0,0.127226477,111427
1930,77.0,0.127799371,111999
1940,76.0,0.128333241,112567
1950,76.0,0.129035903,113137
1960,75.0,0.129585456,113722
1970,74.0,0.131764983,114317
1980,79.0,0.132311704,114890
1990,76.0,0.132796897,115461
2000,76.0,0.133290255,116044
2010,77.0,0.133799508,116615
2020,78.0,0.13429647,117180
2030,78.0,0.134860227,117766
2040,77.0,0.135565508,118332
2050,81.0,0.13624322,118916
2060,80.0,0.136768118,119492
2070,80.0,0.137478016,120064
2080,80.0,0.138245997,120637
2090,80.0,0.138873037,121200
2100,81.0,0.139460271,121781
2110,80.0,0.140156405,122350
2120,80.0,0.140722943,122926
2130,80.0,0.141263359,123508
2140,80.0,0.143172286,124083
2150,77.0,0.144057236,124657
2160,77.0,0.144935703,125231
2170,77.0,0.146291268,125804
2180,76.0,0.146906769,126396
2190,76.0,0.147491706,126972
2200,81.0,0.148073222,127554
2210,82.0,0.148701069,128129
2220,82.0,0.149393731,128711
2230,83.0,0.150066648,129287
2240,83.0,0.150662861,129860
2250,82.0,0.151534032,130437
2260,82.0,0.15216891,131007
2270,83.0,0.152918048,131598
2280,83.0,0.153459022,132168
2290,82.0,0.153973876,132751
2300,82.0,0.154513113,133326
2310,84.0,0.156061844,133907
2320,84.0,0.157632992,134490
2330,84.0,0.158307022,135057
2340,84.0,0.15907121,135635
2350,83.0,0.159686903,136208
2360,84.0,0.160162812,136783
2370,83.0,0.160664067,137374
2380,82.0,0.161220644,137931
2390,81.0,0.161717605,138521
2400,83.0,0.162202905,139088
2410,84.0,0.162677433,139654
2420,84.0,0.163221453,140243
2430,84.0,0.163747844,140815
2440,83.0,0.164287608,141398
2450,81.0,0.164779393,141982
2460,82.0,0.165351646,142557
2470,82.0,0.166151058,143134
2480,82.0,0.166756307,143706
2490,82.0,0.167458102,144273
2500,79.0,0.168149256,144838
2510,81.0,0.168843466,145420
2520,81.0,0.16952222,145981
2530,79.0,0.17043217,146555
2540,79.0,0.171131727,147149
2550,79.0,0.171629729,147729
2560,80.0,0.172136502,148312
