iterations,fitness,time,fevals
0,20.0,0.097164034,1000
10,23.0,0.290607951,2100
20,24.0,0.386584001,3200
30,27.0,0.455899055,4300
40,29.0,0.523578188,5400
50,27.0,0.587319154,6500
60,27.0,0.649122775,7600
70,27.0,0.717645424,8700
80,27.0,0.782066253,9800
90,27.0,0.848482548,10900
100,27.0,0.909869997,12000
110,28.0,0.97524087,13100
120,27.0,1.04022207,14200
130,29.0,1.111836261,15300
140,27.0,1.176852401,16400
150,28.0,1.244948721,17500
160,28.0,1.31337174,18600
170,29.0,1.380072476,19700
180,27.0,1.444558109,20800
190,28.0,1.513567032,21900
200,28.0,1.577746746,23000
210,27.0,1.63864233,24100
220,27.0,1.704469427,25200
230,27.0,1.767108596,26300
240,27.0,1.830287898,27400
250,27.0,1.891645192,28500
260,27.0,1.951566519,29600
270,27.0,2.013160402,30700
280,26.0,2.073901533,31800
290,26.0,2.131241854,32900
300,27.0,2.190435273,34000
310,27.0,2.249773707,35100
320,27.0,2.309355626,36200
330,27.0,2.370397709,37300
340,27.0,2.431290014,38400
350,27.0,2.494983742,39500
360,27.0,2.560977123,40600
370,28.0,2.620649837,41700
380,28.0,2.684095929,42800
390,28.0,2.746045712,43900
400,28.0,2.805321451,45000
410,28.0,2.863565089,46100
420,27.0,2.922331796,47200
430,27.0,2.981225134,48300
440,28.0,3.041203753,49400
450,27.0,3.101169878,50500
460,28.0,3.158974691,51600
470,27.0,3.217828069,52700
480,27.0,3.276568627,53800
490,29.0,3.335288818,54900
500,28.0,3.395217537,56000
510,28.0,3.453901372,57100
520,26.0,3.521028162,58200
530,27.0,3.578994263,59300
540,28.0,3.63862577,60400
550,27.0,3.696764474,61500
560,29.0,3.759147925,62600
570,29.0,3.819576607,63700
580,29.0,3.881949367,64800
590,30.0,3.950041288,65900
600,29.0,4.024027411,67000
610,31.0,4.086459661,68100
620,29.0,4.155713917,69200
630,29.0,4.220490805,70300
640,29.0,4.284801786,71400
650,29.0,4.345427369,72500
660,29.0,4.40667658,73600
670,30.0,4.472649893,74700
680,29.0,4.532317193,75800
