iterations,fitness,time,fevals
0,15.0,4.081e-05,11
10,15.0,8.49519999999e-05,21
20,15.0,0.000112797,31
30,16.0,0.00013976,41
40,19.0,0.000167904,51
50,19.0,0.000194431,61
60,20.0,0.000223087,71
70,21.0,0.000251771,81
80,21.0,0.000276711,91
90,21.0,0.000301426,101
100,21.0,0.0003243,111
110,22.0,0.000373219,121
120,22.0,0.000424631,131
130,23.0,0.000449866,141
140,23.0,0.000483514,151
150,23.0,0.000577025,161
160,23.0,0.000728946,171
170,23.0,0.000767151,181
180,23.0,0.000794008,191
190,23.0,0.000825156,201
200,25.0,0.000867769,211
210,25.0,0.00122552,221
220,25.0,0.001274201,231
230,26.0,0.001316432,241
240,26.0,0.001354608,251
250,26.0,0.001433137,261
260,26.0,0.001795158,271
270,29.0,0.002137778,281
280,29.0,0.002481006,291
290,30.0,0.002851105,301
300,30.0,0.002924319,311
310,32.0,0.003014317,321
320,33.0,0.003054541,331
330,33.0,0.003086592,341
340,34.0,0.003121936,351
350,34.0,0.003156743,361
360,34.0,0.003181762,371
370,34.0,0.003211562,381
380,34.0,0.003239204,391
390,34.0,0.003271546,401
400,34.0,0.003307875,411
410,34.0,0.003345995,421
420,34.0,0.00337696,431
430,34.0,0.003412442,441
440,34.0,0.003439416,451
450,34.0,0.003480019,461
460,34.0,0.003519328,471
470,34.0,0.003561633,481
480,34.0,0.003655222,491
490,34.0,0.003706652,501
500,34.0,0.003738241,511
510,34.0,0.003771689,521
520,34.0,0.003791424,531
530,34.0,0.003819213,541
540,34.0,0.0038472,551
550,34.0,0.003874305,561
560,34.0,0.003918753,571
570,34.0,0.004040802,581
580,34.0,0.004161843,591
590,34.0,0.004201523,601
600,34.0,0.004240707,611
610,34.0,0.004267067,621
620,34.0,0.00429334,631
630,34.0,0.00432894,641
640,34.0,0.004367953,651
650,34.0,0.004393593,661
660,34.0,0.004417231,671
670,34.0,0.004457028,681
680,34.0,0.004485422,691
690,34.0,0.004510871,701
700,34.0,0.004537011,711
710,34.0,0.004573018,721
720,34.0,0.004599645,731
730,34.0,0.004626198,741
