iterations,fitness,time,fevals
0,14.0,2.19549999998e-05,11
10,14.0,4.6201e-05,21
20,15.0,0.000115295,31
30,14.0,0.000129923,41
40,14.0,0.000174296,51
50,13.0,0.000188107,61
60,16.0,0.000202818,71
70,15.0,0.00021426,81
80,14.0,0.000925015,91
90,14.0,0.000984975000001,101
100,13.0,0.001037459,111
110,11.0,0.001100138,121
120,15.0,0.001117572,131
130,14.0,0.001132838,141
140,17.0,0.001148194,151
150,18.0,0.00116159,161
160,17.0,0.001177767,171
170,15.0,0.001189966,181
180,20.0,0.001208008,191
190,14.0,0.00122344,201
200,15.0,0.001237258,211
210,18.0,0.001250107,221
220,19.0,0.001264632,231
230,19.0,0.001278362,241
240,20.0,0.001288721,251
250,16.0,0.001301597,261
260,16.0,0.001314828,271
270,15.0,0.001327741,281
280,17.0,0.001338816,291
290,14.0,0.001351116,301
300,19.0,0.001364946,311
310,12.0,0.001376625,321
320,14.0,0.001391207,331
330,19.0,0.001423723,341
340,12.0,0.001435339,351
350,13.0,0.001449333,361
360,16.0,0.001463017,371
370,18.0,0.001475599,381
380,19.0,0.001488198,391
390,12.0,0.001502045,401
400,11.0,0.001514172,411
410,17.0,0.001527123,421
420,20.0,0.001540291,431
430,18.0,0.001555344,441
440,19.0,0.001567719,451
450,22.0,0.001619671,461
460,22.0,0.001690277,471
470,22.0,0.001729457,481
480,23.0,0.001743729,491
490,23.0,0.00176569,501
500,23.0,0.001782876,511
510,23.0,0.001804586,521
520,23.0,0.001820409,531
530,23.0,0.001847308,541
540,23.0,0.001862063,551
550,23.0,0.001882757,561
560,23.0,0.001896706,571
570,23.0,0.001918011,581
580,23.0,0.001931989,591
590,23.0,0.001947726,601
600,23.0,0.001986702,611
610,23.0,0.002000564,621
620,23.0,0.002014142,631
630,23.0,0.002026127,641
640,23.0,0.002039677,651
650,23.0,0.00205245,661
660,23.0,0.002063555,671
670,23.0,0.002076546,681
680,23.0,0.00209216,691
690,23.0,0.002104466,701
700,23.0,0.002118171,711
710,23.0,0.002130784,721
720,23.0,0.002144816,731
730,23.0,0.002184089,741
740,24.0,0.002195831,751
750,25.0,0.002209454,761
760,25.0,0.002222815,771
770,27.0,0.002235231,781
780,28.0,0.002248162,791
790,29.0,0.002258268,801
800,29.0,0.002270745,811
810,29.0,0.002282131,821
820,30.0,0.002294784,831
830,30.0,0.002306503,841
840,30.0,0.002318753,851
850,31.0,0.002330638,861
860,34.0,0.002343878,871
870,34.0,0.002356141,881
880,34.0,0.002368501,891
890,37.0,0.002387139,901
900,37.0,0.002401019,911
910,37.0,0.002413148,921
920,37.0,0.002426422,931
930,37.0,0.002473456,941
940,37.0,0.00248752,951
950,37.0,0.00250046,961
960,37.0,0.002544632,971
970,37.0,0.002555924,981
980,37.0,0.002569076,991
990,38.0,0.002581171,1001
1000,40.0,0.00259457,1011
1010,40.0,0.002605665,1021
1020,40.0,0.002619596,1031
1030,40.0,0.002630903,1041
1040,40.0,0.002642465,1051
1050,40.0,0.002655203,1061
1060,40.0,0.002667106,1071
1070,40.0,0.002678548,1081
1080,40.0,0.00269125,1091
1090,40.0,0.00270609,1101
1100,40.0,0.002718125,1111
1110,40.0,0.002731492,1121
1120,40.0,0.002745014,1131
1130,40.0,0.002771308,1141
1140,40.0,0.002785058,1151
1150,40.0,0.002798892,1161
1160,40.0,0.00281245,1171
1170,40.0,0.002825617,1181
1180,40.0,0.00315386,1191
1190,40.0,0.008255579,1201
1200,40.0,0.00828165,1211
1210,40.0,0.008296527,1221
1220,40.0,0.008311246,1231
1230,40.0,0.008324635,1241
1240,40.0,0.008337651,1251
1250,40.0,0.008350696,1261
1260,40.0,0.008363624,1271
1270,40.0,0.008376672,1281
1280,43.0,0.008389111,1291
1290,43.0,0.008403363,1301
1300,43.0,0.008415471,1311
1310,43.0,0.008429127,1321
1320,43.0,0.008441933,1331
1330,43.0,0.008461203,1341
1340,43.0,0.008509319,1351
1350,43.0,0.00852995,1361
1360,43.0,0.008545636,1371
1370,43.0,0.008590326,1381
1380,43.0,0.008671172,1391
1390,43.0,0.009042006,1401
1400,43.0,0.009403231,1411
1410,43.0,0.009422382,1421
1420,43.0,0.009438104,1431
1430,43.0,0.009454602,1441
1440,43.0,0.009468857,1451
1450,43.0,0.009483801,1461
1460,43.0,0.009533949,1471
1470,43.0,0.00955275,1481
1480,43.0,0.009900916,1491
1490,43.0,0.009925372,1501
1500,43.0,0.009941029,1511
1510,43.0,0.009955482,1521
1520,44.0,0.009968513,1531
1530,44.0,0.009994095,1541
1540,44.0,0.010009005,1551
1550,44.0,0.010021381,1561
1560,44.0,0.010033826,1571
1570,44.0,0.010045796,1581
1580,44.0,0.010059064,1591
1590,44.0,0.01007344,1601
1600,44.0,0.010087467,1611
1610,44.0,0.010100903,1621
1620,46.0,0.010111993,1631
1630,47.0,0.010124573,1641
1640,49.0,0.010134596,1651
1650,49.0,0.010147418,1661
1660,49.0,0.010157073,1671
1670,49.0,0.010169374,1681
1680,49.0,0.010180876,1691
1690,49.0,0.010215734,1701
1700,50.0,0.010237841,1711
1710,53.0,0.010252408,1721
1720,61.0,0.010265935,1731
1730,61.0,0.010279764,1741
1740,61.0,0.010333426,1751
1750,61.0,0.01035494,1761
1760,61.0,0.010370822,1771
1770,61.0,0.010392572,1781
1780,61.0,0.010409988,1791
1790,61.0,0.010431419,1801
1800,61.0,0.010447828,1811
1810,61.0,0.010468937,1821
1820,61.0,0.010484915,1831
1830,62.0,0.010505562,1841
1840,63.0,0.010523442,1851
1850,64.0,0.010545765,1861
1860,64.0,0.010566906,1871
1870,64.0,0.010590696,1881
1880,64.0,0.01060788,1891
1890,64.0,0.010630025,1901
1900,64.0,0.010646047,1911
1910,64.0,0.010667166,1921
