#RHC
,iterations,fitness,time,fevals
5,50,17.333333333333332,0.001829018,61
10,100,19.0,0.0025527943333333333,111
50,500,30.666666666666668,0.008259469,511
100,1000,41.333333333333336,0.012702306666666668,1011
200,2000,66.66666666666667,0.020987427,2011
300,3000,80.66666666666667,0.027315555000000002,3011
400,4000,91.0,0.03287658533333333,4011
500,5000,96.0,0.03927477100000001,5011
#Simulated Annealing
,iterations,fitness,time,fevals
5,50,17.666666666666668,0.0002949676666673334,61
10,100,19.666666666666668,0.0009091069999996668,111
50,500,31.333333333333332,0.0027216453333333336,511
100,1000,45.0,0.005381855666666667,1011
200,2000,78.66666666666667,0.008037241,2011
300,3000,96.0,0.010816166666666668,3011
400,4000,99.0,0.017696194000003333,4011
500,5000,99.0,0.02298787266666667,5011
#Genetic Algorithm
,iterations,fitness,time,fevals
5,50.0,28.333333333333332,0.0055787426666666666,3897.0
10,100.0,29.666666666666668,0.009461747666666666,7041.333333333333
50,500.0,41.0,0.039950677,32191.666666666668
100,1000.0,56.333333333333336,0.07592385866666666,63661.333333333336
200,2000.0,71.66666666666667,0.14706032333333333,126706.33333333333
300,3000.0,82.0,0.22420363666666665,189752.66666666666
400,4000.0,84.66666666666667,0.2927119263333333,252724.0
500,5000.0,93.66666666666667,0.35506534166666665,315678.3333333333
#MIMIC
,iterations,fitness,time,fevals
5,50,40.333333333333336,0.475465373,6500
10,100,44.333333333333336,0.8280071126666666,12000
50,500,58.333333333333336,3.4716154716666665,56000
100,1000,69.0,6.596052462,111000
200,2000,68.33333333333333,12.943644920333332,221000
300,3000,72.0,20.32531736,331000
400,4000,72.66666666666667,26.67597659233333,441000
500,5000,74.66666666666667,33.180699387,551000
