iterations,fitness,time,fevals
0,542.0,0.003873932,733
10,535.0,0.007138625,1370
20,552.0,0.010195241,1998
30,551.0,0.016913884,2612
40,553.0,0.019708279,3248
50,557.0,0.022133067,3879
60,561.0,0.024778987,4505
70,559.0,0.027415427,5127
80,563.0,0.031055773,5760
90,567.0,0.033509154,6390
100,572.0,0.035654588,7025
110,575.0,0.038362219,7655
120,570.0,0.042374213,8290
130,569.0,0.046607684,8919
140,574.0,0.048736488,9546
150,575.0,0.050915585,10175
160,571.0,0.053162318,10816
170,570.0,0.055370072,11435
180,575.0,0.057530952,12063
190,569.0,0.059641505,12678
200,569.0,0.062661018,13310
210,570.0,0.064986421,13947
220,569.0,0.067385812,14589
230,572.0,0.072391065,15216
240,570.0,0.074965926,15832
250,570.0,0.077456426,16450
260,574.0,0.079588109,17075
270,570.0,0.082109247,17702
280,572.0,0.084159869,18314
290,570.0,0.086340041,18953
300,572.0,0.088345241,19586
310,576.0,0.090389561,20217
320,570.0,0.092988422,20842
330,572.0,0.095659432,21476
340,570.0,0.10124369,22118
350,568.0,0.103481381,22756
360,570.0,0.105664022,23379
370,570.0,0.107814878,24012
380,570.0,0.109974941,24646
390,570.0,0.113545356,25281
400,568.0,0.115886943,25902
410,568.0,0.117963197,26529
420,570.0,0.120236891,27157
430,570.0,0.12232681,27794
440,576.0,0.124686859,28419
450,576.0,0.128019136,29059
460,572.0,0.130316378,29687
470,570.0,0.132589587,30318
480,578.0,0.134601185,30964
490,570.0,0.136870006,31596
500,576.0,0.142815703,32234
510,580.0,0.145000135,32858
520,578.0,0.147279359,33479
530,580.0,0.14947848,34107
540,570.0,0.151891967,34738
550,570.0,0.153855457,35365
560,571.0,0.156245221,35993
570,572.0,0.158828119,36610
580,567.0,0.161129006,37250
590,569.0,0.16329408,37882
600,569.0,0.165890163,38523
610,564.0,0.171533095,39162
620,566.0,0.173720383,39793
630,567.0,0.17577144,40418
640,565.0,0.177872408,41055
650,565.0,0.181536106,41684
660,565.0,0.183696604,42325
670,563.0,0.186132603,42965
680,563.0,0.188317192,43598
690,565.0,0.190786954,44230
700,563.0,0.193097767,44865
710,562.0,0.199332219,45498
720,560.0,0.201551535,46141
730,564.0,0.203900963,46775
740,561.0,0.20605047,47398
750,560.0,0.208151247,48044
760,563.0,0.210403774,48681
770,562.0,0.212482908,49326
780,557.0,0.214556232,49960
790,557.0,0.21659356,50598
800,567.0,0.218755158,51234
810,563.0,0.221013838,51883
820,565.0,0.223974787,52513
830,565.0,0.226179739,53144
840,565.0,0.228185461,53775
850,569.0,0.230151942,54390
860,569.0,0.232278275,55013
870,569.0,0.234213231,55638
880,569.0,0.236355477,56265
890,569.0,0.242770212,56905
900,565.0,0.244918349,57533
910,565.0,0.248489887,58162
920,569.0,0.250823003,58791
930,567.0,0.252983718,59427
940,565.0,0.255928583,60059
950,565.0,0.258050542,60688
960,565.0,0.260220408,61322
970,569.0,0.262279131,61942
980,573.0,0.264315558,62577
990,575.0,0.270224412,63201
1000,573.0,0.272512557,63831
1010,575.0,0.274712935,64460
1020,575.0,0.276708482,65102
1030,577.0,0.279276367,65721
1040,577.0,0.281382131,66352
1050,573.0,0.283662872,66981
1060,573.0,0.286299944,67611
1070,575.0,0.289175048,68245
1080,575.0,0.291194228,68883
1090,579.0,0.293408162,69516
1100,577.0,0.298925355,70140
1110,579.0,0.301394133,70765
1120,577.0,0.303695165,71395
1130,577.0,0.305718683,72024
1140,585.0,0.308026275,72646
1150,579.0,0.310282903,73282
1160,585.0,0.31236581,73925
1170,581.0,0.315871474,74555
1180,581.0,0.31874982,75173
1190,583.0,0.322320469,75802
1200,583.0,0.324400569,76422
1210,579.0,0.326356545,77048
1220,579.0,0.328488284,77671
1230,587.0,0.330741432,78295
1240,583.0,0.332969821,78918
1250,583.0,0.335099781,79553
1260,583.0,0.341553382,80193
1270,583.0,0.343892107,80816
1280,585.0,0.345939607,81453
1290,587.0,0.348168325,82089
1300,585.0,0.35035266,82722
1310,587.0,0.352673831,83357
1320,583.0,0.355787438,83997
1330,585.0,0.358002331,84632
1340,589.0,0.36012476,85257
1350,585.0,0.362387234,85894
1360,585.0,0.364558667,86524
1370,583.0,0.370035938,87157
1380,585.0,0.37217801,87786
1390,585.0,0.374242355,88411
1400,587.0,0.376335299,89049
1410,587.0,0.378634704,89692
1420,581.0,0.380754257,90325
1430,587.0,0.384575757,90947
1440,585.0,0.388291029,91577
1450,585.0,0.390326479,92218
1460,581.0,0.392551361,92842
1470,585.0,0.398713557,93474
1480,585.0,0.40096219,94117
1490,587.0,0.403148982,94742
1500,591.0,0.405193409,95363
1510,587.0,0.407360774,96007
1520,589.0,0.409576903,96637
1530,591.0,0.411835892,97279
1540,591.0,0.413994794,97892
1550,587.0,0.416294171,98523
1560,591.0,0.419341801,99153
1570,589.0,0.423071194,99783
1580,589.0,0.426481572,100406
1590,587.0,0.428514924,101043
1600,587.0,0.430889836,101671
1610,585.0,0.433063413,102309
1620,587.0,0.435712688,102943
1630,587.0,0.43779351,103580
1640,593.0,0.439944587,104221
1650,587.0,0.442195359,104852
1660,585.0,0.444242462,105480
1670,589.0,0.446456648,106099
1680,587.0,0.448964477,106731
1690,591.0,0.453933831,107359
1700,591.0,0.456363483,107997
1710,589.0,0.458413721,108634
1720,589.0,0.460498015,109264
1730,591.0,0.462547098,109910
1740,591.0,0.468212644,110527
1750,593.0,0.470423173,111166
1760,589.0,0.472692558,111802
1770,591.0,0.474889957,112437
1780,589.0,0.476889578,113063
1790,587.0,0.479021095,113675
1800,589.0,0.481467498,114306
1810,589.0,0.484469929,114936
1820,593.0,0.48654036,115571
1830,589.0,0.488514385,116202
1840,587.0,0.490851036,116825
1850,587.0,0.496527427,117456
1860,587.0,0.498596534,118092
1870,587.0,0.500820715,118723
1880,591.0,0.502835133,119357
1890,589.0,0.505105587,119990
1900,587.0,0.507368023,120616
1910,589.0,0.509417598,121246
1920,587.0,0.511635656,121887
1930,591.0,0.51406335,122517
1940,587.0,0.51699445,123148
1950,591.0,0.521475965,123782
1960,585.0,0.524767666,124405
1970,591.0,0.526989084,125036
1980,593.0,0.529018564,125666
1990,591.0,0.531119459,126303
2000,591.0,0.533248366,126946
