iterations,fitness,time,fevals
0,562.0,14.440168921,1000
10,604.0,28.101360726,2100
20,668.0,39.916772551,3200
30,704.0,51.069217584,4300
40,722.0,61.329174158,5400
50,728.0,71.241160445,6500
60,730.0,80.918225879,7600
70,730.0,90.10927823,8700
80,730.0,99.887614357,9800
90,730.0,108.868910295,10900
100,730.0,117.93698722,12000
110,732.0,128.438970016,13100
120,730.0,137.834590903,14200
130,730.0,147.099867158,15300
140,732.0,156.752760576,16400
150,732.0,165.960691024,17500
160,734.0,175.389327041,18600
170,736.0,184.377857817,19700
180,732.0,193.670124088,20800
190,736.0,202.771724948,21900
200,742.0,212.194575363,23000
210,744.0,221.474670734,24100
220,746.0,230.522129096,25200
230,746.0,239.659205054,26300
240,746.0,249.098365884,27400
250,747.0,258.119307226,28500
260,748.0,267.231268331,29600
270,746.0,276.201372658,30700
280,746.0,285.571146865,31800
290,746.0,294.865967462,32900
300,746.0,303.951973219,34000
310,746.0,313.162733279,35100
320,748.0,322.124129279,36200
330,748.0,331.44182254,37300
340,748.0,340.651820261,38400
350,748.0,349.726892001,39500
360,748.0,358.698478862,40600
370,748.0,367.674750351,41700
380,748.0,376.653364637,42800
390,750.0,385.910542476,43900
400,750.0,395.155199038,45000
410,750.0,404.358207458,46100
420,750.0,414.836725397,47200
430,752.0,423.900304305,48300
440,752.0,433.168051664,49400
450,752.0,442.372603525,50500
460,752.0,451.787138254,51600
470,752.0,461.096045314,52700
480,752.0,470.150159435,53800
490,752.0,479.305021002,54900
500,752.0,488.40866343,56000
510,756.0,497.73873534,57100
520,756.0,506.84397297,58200
530,758.0,516.041690613,59300
540,758.0,525.099503467,60400
550,756.0,534.403502543,61500
560,756.0,543.412923858,62600
570,758.0,552.693423137,63700
580,758.0,562.056779494,64800
590,756.0,571.154899704,65900
600,756.0,580.112367199,67000
610,756.0,589.751484171,68100
620,756.0,598.767395693,69200
630,756.0,607.993993672,70300
640,756.0,616.97289412,71400
650,758.0,625.992888927,72500
660,756.0,635.209850506,73600
670,758.0,644.200731271,74700
680,758.0,653.402193948,75800
690,760.0,662.547289725,76900
700,758.0,671.676408492,78000
710,758.0,680.788774349,79100
720,760.0,690.751112039,80200
730,758.0,700.34384475,81300
740,758.0,709.525229997,82400
750,758.0,718.737539281,83500
760,760.0,729.778194087,84600
770,760.0,740.424025691,85700
780,760.0,750.488432015,86800
790,760.0,760.016252566,87900
800,760.0,769.170925624,89000
810,762.0,778.445177435,90100
820,761.0,787.803458758,91200
830,762.0,797.287222773,92300
840,762.0,806.952247535,93400
850,764.0,816.242245481,94500
860,762.0,825.419047873,95600
870,764.0,834.54638176,96700
880,762.0,843.604204461,97800
890,762.0,852.992899246,98900
900,762.0,862.016524243,100000
910,762.0,871.042974322,101100
920,764.0,880.091787609,102200
930,762.0,889.086498085,103300
940,764.0,898.352734166,104400
950,764.0,907.713643494,105500
960,764.0,917.293272496,106600
970,764.0,926.672382294,107700
980,764.0,935.776306466,108800
990,764.0,945.05073549,109900
1000,764.0,954.351305067,111000
1010,764.0,963.50656174,112100
1020,762.0,972.51193664,113200
1030,762.0,981.742628671,114300
1040,764.0,990.821449711,115400
1050,764.0,1000.40513068,116500
1060,764.0,1009.60248256,117600
1070,766.0,1018.52270151,118700
1080,764.0,1027.80918769,119800
1090,764.0,1036.89842709,120900
1100,764.0,1045.8864532,122000
1110,764.0,1055.04433926,123100
1120,764.0,1064.163793,124200
1130,766.0,1073.42287557,125300
1140,764.0,1082.48571484,126400
1150,764.0,1091.21512855,127500
1160,764.0,1100.40094169,128600
1170,764.0,1109.5156756,129700
1180,762.0,1118.65645579,130800
1190,764.0,1127.67598485,131900
1200,766.0,1136.80243244,133000
1210,764.0,1145.85339838,134100
1220,764.0,1154.98399361,135200
1230,764.0,1164.11290738,136300
1240,764.0,1173.1634589,137400
1250,766.0,1183.34709106,138500
1260,768.0,1192.40678592,139600
1270,768.0,1201.44818569,140700
1280,770.0,1210.57275409,141800
1290,766.0,1219.64736407,142900
1300,768.0,1228.64795704,144000
1310,768.0,1237.80248145,145100
1320,768.0,1246.831553,146200
1330,766.0,1255.79447932,147300
1340,768.0,1264.86837976,148400
1350,768.0,1273.91754623,149500
1360,768.0,1282.82590723,150600
1370,768.0,1291.85367463,151700
1380,768.0,1300.76764648,152800
1390,768.0,1310.33483463,153900
1400,766.0,1319.22765738,155000
1410,768.0,1328.62205015,156100
1420,768.0,1337.78407879,157200
1430,768.0,1346.96177437,158300
1440,770.0,1356.35612448,159400
1450,770.0,1365.18018101,160500
1460,770.0,1374.24336624,161600
1470,770.0,1383.32352778,162700
1480,770.0,1392.50455503,163800
1490,770.0,1401.45799436,164900
1500,770.0,1410.66076939,166000
1510,770.0,1419.710353,167100
1520,770.0,1428.6901579,168200
1530,768.0,1437.73694052,169300
1540,772.0,1446.57024469,170400
1550,770.0,1455.58806382,171500
1560,768.0,1464.44991466,172600
1570,768.0,1473.49122372,173700
1580,770.0,1484.09296311,174800
1590,770.0,1494.65478869,175900
1600,770.0,1506.98546732,177000
1610,768.0,1519.44418359,178100
1620,770.0,1530.78305306,179200
1630,772.0,1542.58284091,180300
1640,770.0,1552.24306857,181400
1650,770.0,1561.54865821,182500
1660,770.0,1570.48118348,183600
1670,770.0,1579.49822322,184700
1680,770.0,1588.4844085,185800
1690,768.0,1597.44688103,186900
1700,770.0,1606.61451852,188000
1710,770.0,1615.96001086,189100
1720,770.0,1624.93534402,190200
1730,772.0,1634.17814746,191300
1740,772.0,1643.13620322,192400
1750,772.0,1652.29211525,193500
1760,772.0,1661.34752776,194600
1770,772.0,1670.40771242,195700
1780,776.0,1679.71569637,196800
1790,772.0,1688.58342847,197900
1800,772.0,1697.77855808,199000
1810,772.0,1706.89407217,200100
1820,774.0,1716.10645103,201200
1830,772.0,1725.0511212,202300
1840,772.0,1733.93551735,203400
1850,772.0,1743.05423006,204500
1860,774.0,1752.23830429,205600
1870,772.0,1761.23454111,206700
1880,774.0,1770.13338994,207800
1890,772.0,1779.12974121,208900
1900,772.0,1788.31356713,210000
1910,772.0,1797.4653895,211100
1920,772.0,1806.43486935,212200
1930,772.0,1815.59108895,213300
1940,772.0,1825.38377096,214400
1950,772.0,1834.40164025,215500
1960,772.0,1843.44134974,216600
1970,772.0,1852.49164749,217700
1980,772.0,1861.51497995,218800
1990,770.0,1870.68921389,219900
2000,772.0,1879.67340905,221000
