iterations,fitness,time,fevals
0,504.0,0.003665328,11
10,504.0,0.008373728,21
20,506.0,0.010235619,31
30,508.0,0.012146419,41
40,510.0,0.022575426,51
50,514.0,0.025302921,61
60,516.0,0.026834618,71
70,516.0,0.02752093,81
80,516.0,0.028143912,91
90,520.0,0.028876937,101
100,526.0,0.029514194,111
110,526.0,0.030058984,121
120,528.0,0.031765284,131
130,530.0,0.032532462,141
140,532.0,0.033491677,151
150,534.0,0.034671536,161
160,536.0,0.035254248,171
170,536.0,0.03581624,181
180,540.0,0.037137679,191
190,542.0,0.03782103,201
200,542.0,0.038504394,211
210,544.0,0.039930896,221
220,546.0,0.040829607,231
230,548.0,0.041931993,241
240,552.0,0.042760084,251
250,556.0,0.043744556,261
260,556.0,0.044833459,271
270,558.0,0.045356033,281
280,560.0,0.045636695,291
290,560.0,0.045989256,301
300,564.0,0.046329399,311
310,564.0,0.047145306,321
320,564.0,0.047381265,331
330,568.0,0.047679717,341
340,570.0,0.054326649,351
350,576.0,0.05449849,361
360,576.0,0.054630688,371
370,578.0,0.05488605,381
380,580.0,0.055502093,391
390,582.0,0.057695972,401
400,584.0,0.057783008,411
410,584.0,0.058303594,421
420,586.0,0.058384352,431
430,586.0,0.05846466,441
440,588.0,0.060243206,451
450,596.0,0.060341235,461
460,598.0,0.060422606,471
470,598.0,0.060541084,481
480,600.0,0.060620985,491
490,604.0,0.060696407,501
500,606.0,0.060790182,511
510,608.0,0.061140715,521
520,608.0,0.061625968,531
530,610.0,0.061708596,541
540,610.0,0.061761163,551
550,612.0,0.061888171,561
560,616.0,0.062004838,571
570,616.0,0.062122647,581
580,616.0,0.062197814,591
590,616.0,0.062293608,601
600,624.0,0.062388988,611
610,624.0,0.062679828,621
620,626.0,0.062834221,631
630,626.0,0.062960039,641
640,626.0,0.063106184,651
650,630.0,0.063403945,661
660,632.0,0.063492343,671
670,632.0,0.063570067,681
680,632.0,0.063647721,691
690,634.0,0.063721788,701
700,634.0,0.063796661,711
710,634.0,0.063893449,721
720,636.0,0.063974943,731
730,638.0,0.064048938,741
740,638.0,0.064289276,751
750,638.0,0.064381349,761
760,640.0,0.064489454,771
770,642.0,0.064584488,781
780,644.0,0.064669777,791
790,648.0,0.064759325,801
800,648.0,0.064836065,811
810,650.0,0.064925958,821
820,650.0,0.0650273,831
830,652.0,0.065130181,841
840,652.0,0.065326944,851
850,654.0,0.069558742,861
860,654.0,0.069883352,871
870,654.0,0.069962543,881
880,658.0,0.071013884,891
890,658.0,0.071106999,901
900,660.0,0.071179803,911
910,660.0,0.071536332,921
920,662.0,0.071657239,931
930,662.0,0.07174283,941
940,662.0,0.071808185,951
950,666.0,0.071864502,961
960,666.0,0.071922461,971
970,666.0,0.07198055,981
980,668.0,0.072043177,991
990,668.0,0.072122624,1001
1000,672.0,0.074098537,1011
1010,672.0,0.074708252,1021
1020,672.0,0.075136953,1031
1030,674.0,0.07530336,1041
1040,676.0,0.075397964,1051
1050,678.0,0.075483911,1061
1060,680.0,0.076079285,1071
1070,680.0,0.076164634,1081
1080,680.0,0.076256237,1091
1090,680.0,0.076345691,1101
1100,682.0,0.076436619,1111
1110,684.0,0.076517649,1121
1120,684.0,0.099581192,1131
1130,686.0,0.099706624,1141
1140,688.0,0.102298536,1151
1150,690.0,0.102456412,1161
1160,692.0,0.102817237,1171
1170,692.0,0.103032389,1181
1180,692.0,0.103209008,1191
1190,692.0,0.103308486,1201
1200,692.0,0.103593081,1211
1210,692.0,0.103718697,1221
1220,692.0,0.103794108,1231
1230,694.0,0.103883005,1241
1240,694.0,0.104006869,1251
1250,694.0,0.105521987,1261
1260,694.0,0.105588195,1271
1270,694.0,0.105684763,1281
1280,696.0,0.105766275,1291
1290,696.0,0.106105827,1301
1300,698.0,0.106166289,1311
1310,698.0,0.106271216,1321
1320,698.0,0.106385908,1331
1330,698.0,0.106476388,1341
1340,700.0,0.106760565,1351
1350,700.0,0.111889772,1361
1360,702.0,0.111959623,1371
1370,702.0,0.112351969,1381
1380,702.0,0.113016625,1391
1390,704.0,0.113599289,1401
1400,704.0,0.113681599,1411
1410,704.0,0.113752211,1421
1420,704.0,0.11420833,1431
1430,704.0,0.114313191,1441
1440,704.0,0.114451111,1451
1450,704.0,0.115053738,1461
1460,704.0,0.115338057,1471
1470,706.0,0.115417486,1481
1480,706.0,0.115475473,1491
1490,708.0,0.115528033,1501
1500,708.0,0.115676183,1511
1510,710.0,0.1220942,1521
1520,710.0,0.122342361,1531
1530,710.0,0.122547037,1541
1540,710.0,0.122620093,1551
1550,712.0,0.122725423,1561
1560,714.0,0.122806798,1571
1570,714.0,0.122891601,1581
1580,716.0,0.122947927,1591
1590,716.0,0.12300151,1601
1600,716.0,0.123055897,1611
1610,716.0,0.123198512,1621
1620,718.0,0.124751968,1631
1630,718.0,0.124816539,1641
1640,718.0,0.124874558,1651
1650,718.0,0.124922331,1661
1660,718.0,0.124981521,1671
1670,720.0,0.12502692,1681
1680,722.0,0.125068809,1691
1690,722.0,0.1253245,1701
1700,722.0,0.125866673,1711
1710,726.0,0.126576667,1721
1720,726.0,0.126691187,1731
1730,730.0,0.126818522,1741
1740,730.0,0.12687485,1751
1750,732.0,0.126932126,1761
1760,732.0,0.126996659,1771
1770,732.0,0.127046161,1781
1780,732.0,0.127136384,1791
1790,732.0,0.127225932,1801
1800,734.0,0.127321055,1811
1810,736.0,0.127797813,1821
1820,736.0,0.127868359,1831
1830,736.0,0.127937143,1841
1840,736.0,0.127995394,1851
1850,736.0,0.128048427,1861
1860,736.0,0.128090777,1871
1870,736.0,0.151485476,1881
1880,736.0,0.151575884,1891
1890,736.0,0.15164502,1901
1900,736.0,0.151712807,1911
1910,736.0,0.151783767,1921
1920,736.0,0.151849768,1931
1930,736.0,0.151969577,1941
1940,738.0,0.152041575,1951
1950,738.0,0.152109303,1961
1960,738.0,0.152164708,1971
1970,742.0,0.152257283,1981
1980,744.0,0.152472352,1991
1990,744.0,0.15536435,2001
2000,744.0,0.155477783,2011
