iterations,fitness,time,fevals
0,482.0,6.48170000002e-05,11
10,484.0,0.000171867,21
20,486.0,0.000290693,31
30,486.0,0.000384837,41
40,494.0,0.002650007,51
50,498.0,0.002729872,61
60,500.0,0.002792064,71
70,500.0,0.002904578,81
80,502.0,0.002986282,91
90,502.0,0.003079022,101
100,504.0,0.00335219,111
110,504.0,0.003450832,121
120,504.0,0.003541854,131
130,506.0,0.00364427,141
140,512.0,0.003755498,151
150,516.0,0.003848605,161
160,522.0,0.003949102,171
170,522.0,0.004223123,181
180,524.0,0.004310597,191
190,528.0,0.004396464,201
200,532.0,0.004464143,211
210,534.0,0.004527996,221
220,536.0,0.004600162,231
230,538.0,0.004664375,241
240,538.0,0.004732083,251
250,538.0,0.004802186,261
260,538.0,0.004870083,271
270,540.0,0.004935442,281
280,542.0,0.005003977,291
290,544.0,0.005070473,301
300,544.0,0.005151645,311
310,544.0,0.005254896,321
320,546.0,0.00532204,331
330,550.0,0.005364683,341
340,552.0,0.005402807,351
350,554.0,0.005445271,361
360,556.0,0.00552752,371
370,558.0,0.005605099,381
380,562.0,0.006247742,391
390,566.0,0.010130359,401
400,566.0,0.010195711,411
410,568.0,0.010234801,421
420,568.0,0.010270663,431
430,572.0,0.010307392,441
440,574.0,0.010341778,451
450,578.0,0.010375446,461
460,580.0,0.010417536,471
470,580.0,0.010453714,481
480,584.0,0.010492296,491
490,584.0,0.010529734,501
500,584.0,0.010613422,511
510,584.0,0.011354439,521
520,586.0,0.014571083,531
530,590.0,0.014615903,541
540,590.0,0.014649781,551
550,590.0,0.014683611,561
560,592.0,0.014724891,571
570,592.0,0.01475473,581
580,596.0,0.014786318,591
590,598.0,0.014815792,601
600,600.0,0.014852872,611
610,602.0,0.014903075,621
620,602.0,0.014942635,631
630,602.0,0.015033747,641
640,602.0,0.015080072,651
650,604.0,0.015132299,661
660,604.0,0.015203396,671
670,604.0,0.015315851,681
680,608.0,0.015378359,691
690,610.0,0.015428529,701
700,612.0,0.015481939,711
710,612.0,0.015543931,721
720,614.0,0.015626232,731
730,616.0,0.015674478,741
740,618.0,0.015719303,751
750,620.0,0.015766297,761
760,620.0,0.015818154,771
770,620.0,0.015871543,781
780,620.0,0.015933064,791
790,620.0,0.015974658,801
800,620.0,0.016011855,811
810,620.0,0.016048929,821
820,622.0,0.016297272,831
830,624.0,0.016390975,841
840,628.0,0.016497263,851
850,630.0,0.016597008,861
860,632.0,0.016647825,871
870,632.0,0.01686142,881
880,634.0,0.017583261,891
890,634.0,0.01770524,901
900,638.0,0.017959557,911
910,638.0,0.01806782,921
920,644.0,0.018176529,931
930,644.0,0.025116687,941
940,646.0,0.025172975,951
950,646.0,0.025212143,961
960,652.0,0.025325569,971
970,654.0,0.025399878,981
980,654.0,0.025661074,991
990,654.0,0.025754033,1001
1000,654.0,0.027884116,1011
1010,656.0,0.027963388,1021
1020,658.0,0.028031487,1031
1030,660.0,0.028101204,1041
1040,660.0,0.028174891,1051
1050,660.0,0.028252568,1061
1060,660.0,0.028337163,1071
1070,666.0,0.028422719,1081
1080,666.0,0.028921991,1091
1090,670.0,0.028991375,1101
1100,670.0,0.029087582,1111
1110,672.0,0.029134247,1121
1120,674.0,0.029172067,1131
1130,674.0,0.029210656,1141
1140,674.0,0.029279985,1151
1150,678.0,0.029346777,1161
1160,678.0,0.029435133,1171
1170,678.0,0.029527354,1181
1180,682.0,0.029614959,1191
1190,682.0,0.029764581,1201
1200,684.0,0.029815415,1211
1210,684.0,0.029900446,1221
1220,684.0,0.029948755,1231
1230,686.0,0.029991865,1241
1240,686.0,0.03004528,1251
1250,688.0,0.030082609,1261
1260,688.0,0.030131463,1271
1270,688.0,0.030171369,1281
1280,688.0,0.030209031,1291
1290,688.0,0.030248203,1301
1300,688.0,0.030304718,1311
1310,690.0,0.030350838,1321
1320,690.0,0.030388625,1331
1330,690.0,0.030421496,1341
1340,690.0,0.030455834,1351
1350,692.0,0.030493726,1361
1360,692.0,0.030527368,1371
1370,692.0,0.030561934,1381
1380,692.0,0.030596895,1391
1390,692.0,0.030637405,1401
1400,692.0,0.030688363,1411
1410,692.0,0.030720488,1421
1420,692.0,0.030751607,1431
1430,692.0,0.030784138,1441
1440,692.0,0.030815187,1451
1450,692.0,0.030846923,1461
1460,694.0,0.030879112,1471
1470,696.0,0.030934147,1481
1480,696.0,0.030969716,1491
1490,696.0,0.031004082,1501
1500,696.0,0.031037246,1511
1510,696.0,0.031087244,1521
1520,698.0,0.031118362,1531
1530,698.0,0.031152056,1541
1540,698.0,0.031191075,1551
1550,698.0,0.031990456,1561
1560,698.0,0.032051829,1571
1570,698.0,0.032096385,1581
1580,702.0,0.032139685,1591
1590,704.0,0.032186832,1601
1600,706.0,0.032235044,1611
1610,708.0,0.032302012,1621
1620,708.0,0.032357027,1631
1630,710.0,0.032465947,1641
1640,712.0,0.032919724,1651
1650,714.0,0.03302312,1661
1660,714.0,0.03308203,1671
1670,714.0,0.033142758,1681
1680,714.0,0.033189987,1691
1690,714.0,0.03323876,1701
1700,716.0,0.033524501,1711
1710,718.0,0.033594654,1721
1720,718.0,0.033711635,1731
1730,718.0,0.033853318,1741
1740,718.0,0.034174181,1751
1750,718.0,0.034506015,1761
1760,720.0,0.034664292,1771
1770,720.0,0.034750515,1781
1780,722.0,0.034845353,1791
1790,724.0,0.034934538,1801
1800,724.0,0.039448637,1811
1810,724.0,0.039515939,1821
1820,724.0,0.039621522,1831
1830,724.0,0.039733809,1841
1840,726.0,0.039786137,1851
1850,726.0,0.039911744,1861
1860,728.0,0.039968534,1871
1870,730.0,0.040022359,1881
1880,730.0,0.040216301,1891
1890,730.0,0.040546643,1901
1900,730.0,0.040593335,1911
1910,730.0,0.040628308,1921
1920,730.0,0.040720035,1931
1930,732.0,0.040789443,1941
1940,738.0,0.040840652,1951
1950,738.0,0.040893588,1961
1960,738.0,0.040938995,1971
1970,738.0,0.04097479,1981
1980,740.0,0.041093245,1991
1990,744.0,0.04117536,2001
2000,744.0,0.041304542,2011
