,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.013384485244750976,0.00040898323059082033,0.9648351648351648,0.9675822185286693,0.001,"(14,)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'pca__n_components': 2}",4,0.9891304347826086,0.9669421487603306,0.967391304347826,0.9669421487603306,0.9560439560439561,0.9697802197802198,0.9555555555555556,0.9726027397260274,0.9555555555555556,0.9616438356164384,0.0030605832971545436,7.499097783839057e-05,0.013045821268255044,0.0036364986683318818
1,0.008663654327392578,0.0003620147705078125,0.9384615384615385,0.9527182613982117,0.001,"(14,)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'pca__n_components': 3}",11,0.9565217391304348,0.9338842975206612,0.9456521739130435,0.9366391184573003,0.9010989010989011,0.9697802197802198,0.9666666666666667,0.9780821917808219,0.9222222222222223,0.9452054794520548,0.0017357234374666265,2.3582960164791563e-06,0.023772252057621915,0.017911662758710666
2,0.009896373748779297,0.00041222572326660156,0.9604395604395605,0.9736352812816076,0.001,"(14,)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'pca__n_components': 4}",7,0.9891304347826086,0.9752066115702479,0.9565217391304348,0.9834710743801653,0.945054945054945,0.967032967032967,0.9666666666666667,0.9863013698630136,0.9444444444444444,0.9561643835616438,0.0023090768049855636,4.867127117309875e-05,0.016587944060539508,0.01103145072313608
3,0.007784748077392578,0.0003728389739990234,0.9538461538461539,0.9620816418948424,0.001,"(14,)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'pca__n_components': 5}",8,0.967391304347826,0.953168044077135,0.9456521739130435,0.9641873278236914,0.9560439560439561,0.9642857142857143,0.9555555555555556,0.9780821917808219,0.9444444444444444,0.9506849315068493,0.0005897039679648682,1.844034778881275e-05,0.008348742030694878,0.00974316867053531
4,0.01026310920715332,0.0005225181579589844,0.9692307692307692,0.9703611913200956,0.001,"(14,)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'pca__n_components': 6}",2,0.9891304347826086,0.9889807162534435,0.967391304347826,0.9807162534435262,0.9560439560439561,0.9697802197802198,0.9666666666666667,0.9671232876712329,0.9666666666666667,0.9452054794520548,0.0025213439386779194,0.0001692276600113177,0.010868908902128329,0.014815838875210713
5,0.008609437942504882,0.0003733634948730469,0.9626373626373627,0.978014285423999,0.001,"(14,)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'pca__n_components': 7}",6,0.9891304347826086,0.9614325068870524,0.9239130434782609,0.9834710743801653,0.9560439560439561,0.9862637362637363,0.9666666666666667,0.9808219178082191,0.9777777777777777,0.9780821917808219,0.0010544568079857055,1.0393518807558851e-05,0.02241379314213352,0.008725511735089736
6,0.008684015274047852,0.00041136741638183596,0.9736263736263736,0.9818559398260518,0.001,"(14,)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'pca__n_components': 8}",1,0.9891304347826086,0.9752066115702479,0.9456521739130435,0.9752066115702479,0.967032967032967,0.9862637362637363,0.9777777777777777,0.9863013698630136,0.9888888888888889,0.9863013698630136,0.0013534688021506068,7.753474831928144e-05,0.016279281893152704,0.0054291711774445564
7,0.008630752563476562,0.00039415359497070314,0.9648351648351648,0.9780248477135153,0.001,"(14,)",9,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'pca__n_components': 9}",4,0.967391304347826,0.9696969696969697,0.9782608695652174,0.9834710743801653,0.967032967032967,0.989010989010989,0.9666666666666667,0.9780821917808219,0.9444444444444444,0.9698630136986301,0.0018570987222929114,5.763803544084876e-05,0.011029018852639185,0.007567417797368438
8,0.007670259475708008,0.0003703117370605469,0.945054945054945,0.9549568571735445,0.001,"(14,)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'pca__n_components': 10}",10,0.9456521739130435,0.9669421487603306,0.9239130434782609,0.953168044077135,0.945054945054945,0.9560439560439561,0.9444444444444444,0.947945205479452,0.9666666666666667,0.9506849315068493,0.0005686845111864957,1.0597591860815836e-05,0.013524459320803841,0.006564167259436042
9,0.008810949325561524,0.0003722190856933594,0.9692307692307692,0.9747387067063281,0.001,"(14,)",12,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'pca__n_components': 12}",2,0.9891304347826086,0.9752066115702479,0.9456521739130435,0.9862258953168044,0.967032967032967,0.9752747252747253,0.9555555555555556,0.9643835616438357,0.9888888888888889,0.9726027397260274,0.0008031537622605697,7.055578821155726e-06,0.017517931326571794,0.006989322388417906
10,0.010610198974609375,0.0005432605743408203,0.9538461538461539,0.9692215381131944,0.001,"(14,)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'pca__n_components': 15}",8,0.9565217391304348,0.9669421487603306,0.9565217391304348,0.9669421487603306,0.9230769230769231,0.9615384615384616,0.9555555555555556,0.9698630136986301,0.9777777777777777,0.9808219178082191,0.0013766890331981022,0.0001268471628954744,0.017495938518304523,0.006393765671223163
