,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.4229724407196045,0.10766873359680176,0.5128865979381443,0.5202973315325929,0.001,"(14,)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 2}",12,0.5111821086261981,0.5221953188054883,0.5079872204472844,0.519774011299435,0.47266881028938906,0.5205479452054794,0.5357142857142857,0.5168810289389068,0.5374592833876222,0.5220883534136547,0.004646786202393825,0.0007426278741468906,0.02350322810277971,0.0019399953483249285
1,0.41817340850830076,0.10835461616516114,0.5115979381443299,0.5217476412142642,0.001,"(14,)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 3}",13,0.4984025559105431,0.5286521388216303,0.48242811501597443,0.5125100887812752,0.5048231511254019,0.5269943593875906,0.551948051948052,0.5241157556270096,0.5211726384364821,0.5164658634538153,0.00505501948551752,0.0005575366021994999,0.023604163076278977,0.006229569101234595
2,0.4199495792388916,0.10602359771728516,0.5586340206185567,0.5549038675615381,0.001,"(14,)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 4}",10,0.5399361022364217,0.5359160613397902,0.5271565495207667,0.5552865213882163,0.5112540192926045,0.5269943593875906,0.6201298701298701,0.6213826366559485,0.5960912052117264,0.5349397590361445,0.006605965702883592,0.0017935995304239718,0.04181159331432128,0.03451844789413043
3,0.47231225967407225,0.10629816055297851,0.553479381443299,0.5842141426701095,0.001,"(14,)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 5}",11,0.5239616613418531,0.5706214689265536,0.5431309904153354,0.5657788539144472,0.49517684887459806,0.5672844480257857,0.6071428571428571,0.6454983922829582,0.5993485342019544,0.5718875502008032,0.04013199819479488,0.0009323383993263543,0.04319900811163751,0.03072113065714789
4,0.42603511810302735,0.10478520393371582,0.6204896907216495,0.6312988705219313,0.001,"(14,)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 6}",6,0.549520766773163,0.5843422114608555,0.6389776357827476,0.655367231638418,0.6591639871382636,0.67767929089444,0.6590909090909091,0.6864951768488746,0.5960912052117264,0.5526104417670683,0.008186121815876274,0.001169584748873172,0.042401259913152224,0.05324257372251882
5,0.4984608173370361,0.10516090393066406,0.604381443298969,0.6288671049977264,0.001,"(14,)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 7}",7,0.610223642172524,0.6771589991928975,0.5271565495207667,0.54317998385795,0.6109324758842444,0.6970185334407736,0.5974025974025974,0.587620578778135,0.6775244299674267,0.6393574297188755,0.07531835395098964,0.001812811632346921,0.047813549259120326,0.05679846795635722
6,0.47225241661071776,0.10643496513366699,0.6005154639175257,0.617252925447178,0.001,"(14,)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 8}",8,0.6166134185303515,0.6472962066182405,0.5463258785942492,0.5585149313962873,0.6463022508038585,0.6462530217566479,0.5551948051948052,0.5795819935691319,0.6384364820846905,0.6546184738955824,0.09462901930651008,0.0009904057300046834,0.041912381248098575,0.04002259260471507
7,0.4248331546783447,0.10677318572998047,0.5882731958762887,0.632736692375606,0.001,"(14,)",9,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 9}",9,0.610223642172524,0.6658595641646489,0.5591054313099042,0.5851493139628733,0.6012861736334405,0.6784850926672039,0.538961038961039,0.5659163987138264,0.6319218241042345,0.668273092369478,0.01097220115711794,0.001537262419011099,0.03408996504419775,0.04729140877275955
8,0.43153815269470214,0.10705723762512206,0.6320876288659794,0.661702881105524,0.001,"(14,)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 10}",5,0.6485623003194888,0.6795803066989508,0.5782747603833865,0.6166263115415658,0.6430868167202572,0.6712328767123288,0.6363636363636364,0.6382636655948553,0.6547231270358306,0.7028112449799196,0.011133926407170083,0.0017978521002853362,0.027712386069330852,0.030599394405621445
9,0.43595108985900877,0.10676350593566894,0.6372422680412371,0.6717403455013295,0.001,"(14,)",12,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (14,), 'filter__n': 12}",4,0.645367412140575,0.7021791767554479,0.6198083067092651,0.6537530266343826,0.6205787781350482,0.6986301369863014,0.6461038961038961,0.6535369774919614,0.6547231270358306,0.6506024096385542,0.012672770347505762,0.0019857538294463218,0.014362611204554827,0.02345762952076137
