iter,time,reward,steps,convergence,policy
1,18.625928000000513,-263.0,365.0,79.668,False
2,3.1042569999986114,48.0,54.0,68.11226888249944,False
3,4.7434900000009605,89.0,13.0,65.53474772626049,False
4,20.809246999998976,90.0,12.0,56.27274682863622,False
5,23.74050599999933,89.0,13.0,37.904453377840184,True
6,14.235443999998765,92.0,10.0,26.265754333413106,True
7,7.817425999999017,88.0,14.0,18.577610647234543,False
8,16.102328000000554,92.0,10.0,10.746556639788608,True
9,12.463794000000306,90.0,12.0,5.553373951860735,True
10,13.998812999998833,90.0,12.0,2.6770039230814433,True
11,9.448182000001637,88.0,14.0,1.2317039003917927,True
12,12.433767000000984,91.0,11.0,0.5486434291934046,False
13,15.75914500000053,86.0,16.0,0.2323356382323709,True
14,18.538624999999698,85.0,17.0,0.20454802495170554,True
15,10.331908999999584,92.0,10.0,0.11515659501992559,True
16,17.104048000000205,91.0,11.0,0.05496838286632055,True
17,19.97544400000173,92.0,10.0,0.0246646936108732,True
18,23.355789000000016,92.0,10.0,0.010733278398760149,True
19,24.390375000001185,93.0,9.0,0.004588700504640997,True
20,22.08655500000134,91.0,11.0,0.00193965609935276,True
21,33.98764700000001,90.0,12.0,0.0008135795660990652,True
22,25.44101000000154,91.0,11.0,0.00033937695714314486,True
23,29.507334999999912,93.0,9.0,0.00014099852647575517,True
24,26.15445999999899,91.0,11.0,5.840487673935968e-05,True
25,28.685577999999268,89.0,13.0,2.41389836048711e-05,True
26,25.873586000001225,91.0,11.0,9.960426780253329e-06,True
27,28.148404000001293,93.0,9.0,4.10510496351435e-06,True
28,28.387180000001067,90.0,12.0,1.690500440076903e-06,True
29,24.685121000000976,90.0,12.0,6.957879747915285e-07,True
30,16.718550999998527,93.0,9.0,2.862925612134859e-07,True
31,25.48578500000076,93.0,9.0,1.1778645614413108e-07,True
32,24.415686000001102,92.0,10.0,4.846144463499513e-08,True
33,19.895483999999186,85.0,17.0,1.9941722939620377e-08,True
34,19.956505999999763,92.0,10.0,8.207905466406373e-09,True
35,22.514997000000037,91.0,11.0,3.379369672984467e-09,True
36,25.933023000000333,91.0,11.0,1.3918253216615994e-09,True
37,25.514998000000233,83.0,19.0,5.734648311772617e-10,True
38,20.409058000000257,93.0,9.0,2.3638335733267013e-10,True
39,23.297016999999087,91.0,11.0,9.747225249157054e-11,True
40,21.625417999999286,92.0,10.0,4.023092969873687e-11,True
41,25.147340000000185,90.0,12.0,1.6584067452640738e-11,True
42,29.85095499999879,90.0,12.0,6.849631972727366e-12,True
43,30.827105999998494,85.0,17.0,2.8137492336099967e-12,True
44,26.8302079999998,88.0,14.0,1.1795009413617663e-12,True
45,31.129724000001247,93.0,9.0,4.689582056016661e-13,True
46,32.631653999999344,92.0,10.0,1.9895196601282805e-13,True
47,47.316150000000334,89.0,13.0,8.526512829121202e-14,True
48,69.0736420000011,91.0,11.0,2.8421709430404007e-14,True
49,98.9316320000011,90.0,12.0,2.8421709430404007e-14,True
50,99.16373000000078,89.0,13.0,0.0,True
51,140.63395899999875,92.0,10.0,0.0,True
52,101.67433300000006,93.0,9.0,0.0,True
53,35.2301930000003,90.0,12.0,0.0,True
54,32.4238699999988,91.0,11.0,0.0,True
55,35.40938200000099,90.0,12.0,0.0,True
56,36.745486999999244,91.0,11.0,0.0,True
57,41.46926099999959,89.0,13.0,0.0,True
58,38.52727399999978,90.0,12.0,0.0,True
59,47.21344000000016,92.0,10.0,0.0,True
60,41.143420999999236,87.0,15.0,0.0,True
61,40.21064700000032,93.0,9.0,0.0,True
62,38.501166999999725,93.0,9.0,0.0,True
63,34.506542000000806,93.0,9.0,0.0,True
64,35.96501100000005,90.0,12.0,0.0,True
65,45.83890199999985,92.0,10.0,0.0,True
66,35.54068900000118,93.0,9.0,0.0,True
67,37.76878899999936,91.0,11.0,0.0,True
68,40.0206100000009,90.0,12.0,0.0,True
69,39.22749799999892,88.0,14.0,0.0,True
70,40.14483700000149,93.0,9.0,0.0,True
71,39.257479999999845,85.0,17.0,0.0,True
72,43.441106000001284,93.0,9.0,0.0,True
73,45.477562000000304,89.0,13.0,0.0,True
74,46.3735680000017,91.0,11.0,0.0,True
75,47.143768999999836,89.0,13.0,0.0,True
76,86.5374990000003,91.0,11.0,0.0,True
77,115.73544400000024,89.0,13.0,0.0,True
78,109.12552299999945,88.0,14.0,0.0,True
79,48.81621000000003,88.0,14.0,0.0,True
80,44.9927799999994,91.0,11.0,0.0,True
81,45.34435100000067,90.0,12.0,0.0,True
82,44.98927200000047,92.0,10.0,0.0,True
83,45.29606899999905,93.0,9.0,0.0,True
84,47.380386000000385,93.0,9.0,0.0,True
85,49.037476000000524,86.0,16.0,0.0,True
86,48.37347199999975,89.0,13.0,0.0,True
87,49.150676000000004,91.0,11.0,0.0,True
88,48.611625999999575,90.0,12.0,0.0,True
89,49.63399699999904,91.0,11.0,0.0,True
90,50.63433599999989,91.0,11.0,0.0,True
91,50.35570300000103,84.0,18.0,0.0,True
92,50.02327999999956,91.0,11.0,0.0,True
93,51.26629799999982,89.0,13.0,0.0,True
94,51.924866000000236,93.0,9.0,0.0,True
95,52.773476000000485,90.0,12.0,0.0,True
96,53.60364299999887,91.0,11.0,0.0,True
97,61.66555399999929,93.0,9.0,0.0,True
98,64.8548489999996,89.0,13.0,0.0,True
99,127.19282399999976,90.0,12.0,0.0,True
100,57.991480000000095,92.0,10.0,0.0,True
