iter,time,reward,steps,convergence,policy
1,44.551600000005465,-317.0,300.0,79.8,False
2,140.4169799999977,-389.0,300.0,59.205810466062346,False
3,75.89316299998927,-335.0,300.0,32.64287930931378,False
4,73.9818630000002,-308.0,300.0,23.47506793279669,False
5,75.41492800000071,-299.0,300.0,20.74801175957091,False
6,93.49842499999284,-299.0,300.0,14.864041808203504,False
7,295.9434130000034,-326.0,300.0,10.112046397703802,False
8,390.76296399998967,-299.0,300.0,10.536148812543615,False
9,399.11313800000414,-299.0,300.0,8.123293870875337,False
10,427.9174609999927,-299.0,300.0,6.300512378387057,False
11,467.4270729999961,58.0,44.0,4.503318107997174,False
12,543.102697000009,-20.0,122.0,3.306800168067598,False
13,274.88825800000427,-2.0,104.0,2.5298270742562967,False
14,172.45800999999972,65.0,37.0,2.0111666182268433,False
15,149.11223299999676,66.0,36.0,1.5087279067784691,False
16,170.4085819999932,66.0,36.0,1.0519304156259288,False
17,189.85146500000383,64.0,38.0,0.7693735271838724,False
18,212.799246000003,49.0,35.0,0.583051203932647,False
19,185.12161400001048,63.0,39.0,0.5016671961294614,False
20,186.3853929999948,57.0,45.0,0.37471228405633283,True
21,201.77323000000058,64.0,38.0,0.2504710217875754,False
22,176.42837500000041,53.0,40.0,0.15838007266375786,True
23,190.21650099999476,62.0,40.0,0.11006795645011369,False
24,356.81547199999386,62.0,40.0,0.11112587589839062,True
25,192.50704099999894,57.0,45.0,0.09051971798632419,True
26,273.770049999996,71.0,31.0,0.040244286780888316,True
27,238.92278099999942,40.0,44.0,0.019877957767771903,True
28,183.0921920000037,64.0,38.0,0.01025317411160298,True
29,170.185570000001,69.0,33.0,0.005310093262452575,True
30,213.0473950000038,68.0,34.0,0.0027208111233596455,True
31,261.5873679999936,64.0,38.0,0.0013724673108166385,True
32,300.1994730000064,69.0,33.0,0.0006814131246111188,True
33,329.4798749999899,44.0,58.0,0.00033428789236822354,True
34,297.8267960000096,68.0,34.0,0.00016151452211854433,True
35,248.76486399999465,57.0,36.0,7.694269091995665e-05,True
36,235.1808989999995,58.0,35.0,3.618339258615322e-05,True
37,237.73434699999996,60.0,42.0,1.681682874110635e-05,True
38,226.0620769999946,28.0,47.0,7.732910818347705e-06,True
39,225.90671300000054,58.0,44.0,3.5215561009493968e-06,True
40,228.21742499999687,55.0,47.0,1.5896612453047965e-06,True
41,254.79993700000136,70.0,32.0,7.11865699720704e-07,True
