iter,time,reward,steps,convergence
1,143.607874,-299.0,300.0,9.99
2,88.60781999999998,-398.0,300.0,9.792791
3,38.53735700000002,-308.0,300.0,9.44305171
4,58.89337299999997,-299.0,300.0,8.9697628851
5,63.98775000000001,-299.0,300.0,8.44380294269
6,69.86025299999999,-108.0,192.0,7.865488964024598
7,25.003524000000056,-299.0,300.0,7.760907216382016
8,67.81875400000004,-299.0,300.0,7.566783643503695
9,36.55644899999999,-137.0,239.0,7.093717035674085
10,17.857628000000012,-317.0,300.0,7.022993898562406
11,25.921191999999984,-299.0,300.0,6.427404221944775
12,35.588428000000064,-299.0,300.0,6.093812459728859
13,24.510058000000058,-326.0,300.0,6.031035665100563
14,121.028833,-308.0,300.0,5.760553713755469
15,14.64847300000005,-299.0,300.0,5.829370584464683
16,21.937025000000055,-299.0,300.0,5.847398675052449
17,6.02154399999999,22.0,71.0,5.510826528063527
18,21.429553000000045,-79.0,172.0,5.139222260075057
19,10.279515000000018,-335.0,300.0,5.186952576925477
20,8.622899999999989,18.0,75.0,4.7738440984635115
21,12.02258700000003,-299.0,300.0,4.913548201970843
22,8.272583000000001,-407.0,300.0,4.6301430559747745
23,34.086092999999984,-168.0,243.0,4.68739893103732
24,26.060740000000028,-299.0,300.0,4.9789978953049765
25,6.244664000000011,-153.0,246.0,4.75637984886386
26,6.092333000000005,-299.0,300.0,4.790547289851042
27,9.853711000000098,-335.0,300.0,4.575551380688823
28,8.654629000000025,-299.0,300.0,4.51400682751555
29,4.6158769999999905,33.0,69.0,4.304686565936395
30,2.9639779999999227,-21.0,105.0,4.160002870285333
31,15.814278999999987,3.0,99.0,3.9638027699741762
32,3.5307620000000206,-213.0,297.0,4.363226736844053
33,1.7425650000000292,-299.0,300.0,3.836886826489048
34,6.266901999999908,37.0,65.0,3.717867403717238
35,1.806471999999948,-133.0,217.0,3.5503007714589843
36,4.479073999999805,-35.0,137.0,3.328199880983238
37,8.80990699999984,-65.0,158.0,3.266729600241733
